# Parametric Fisher Information & CRLB Results
# G(t) = 1e-3 + 1e-4 * cos(2*pi*t)
# theta_true = (1.000000e-03, 1.000000e-04)
# theta_fit  = (1.000260e-03, 9.912823e-05)
# sigma per channel = (1.00e-05, 1.00e-05, 1.00e-05)
# F_scalar = 15000000000.0000
# CRLB_scalar = 6.666667e-11
#
# Fisher parametric (2x2):
#   7.500000e+12  1.500000e+10
#   1.500000e+10  3.757500e+12
#
# CRLB parametric (2x2):
#   1.333344e-13  -5.322730e-16
#   -5.322730e-16  2.661365e-13
#
# t	G_true	G_hat	G_recon	G_fit
0.68136273	0.00095820	0.00095239	0.00095820	0.00095882
0.68336673	0.00095935	0.00096547	0.00095935	0.00095996
0.68537074	0.00096050	0.00095465	0.00096050	0.00096110
0.68737475	0.00096166	0.00096083	0.00096166	0.00096225
0.68937876	0.00096282	0.00096079	0.00096282	0.00096341
0.69138277	0.00096400	0.00096883	0.00096400	0.00096457
0.69338677	0.00096517	0.00095745	0.00096517	0.00096574
0.69539078	0.00096636	0.00097334	0.00096636	0.00096691
0.69739479	0.00096755	0.00095850	0.00096755	0.00096809
0.69939880	0.00096874	0.00096378	0.00096874	0.00096927
0.70140281	0.00096994	0.00096786	0.00096994	0.00097046
0.70340681	0.00097114	0.00097727	0.00097114	0.00097165
0.70541082	0.00097235	0.00097382	0.00097235	0.00097285
0.70741483	0.00097356	0.00098042	0.00097356	0.00097405
0.70941884	0.00097478	0.00098412	0.00097478	0.00097526
0.71142285	0.00097600	0.00096551	0.00097600	0.00097647
0.71342685	0.00097722	0.00097155	0.00097722	0.00097768
0.71543086	0.00097845	0.00097967	0.00097845	0.00097890
0.71743487	0.00097968	0.00097815	0.00097968	0.00098012
0.71943888	0.00098092	0.00097962	0.00098092	0.00098134
0.72144289	0.00098215	0.00098697	0.00098215	0.00098257
0.72344689	0.00098339	0.00098351	0.00098339	0.00098380
0.72545090	0.00098464	0.00099423	0.00098464	0.00098503
0.72745491	0.00098588	0.00100053	0.00098588	0.00098626
0.72945892	0.00098713	0.00098765	0.00098713	0.00098750
0.73146293	0.00098838	0.00098312	0.00098838	0.00098874
0.73346693	0.00098963	0.00099303	0.00098963	0.00098998
0.73547094	0.00099088	0.00099320	0.00099088	0.00099122
0.73747495	0.00099214	0.00099718	0.00099214	0.00099247
0.73947896	0.00099339	0.00100164	0.00099339	0.00099371
0.74148297	0.00099465	0.00099363	0.00099465	0.00099496
0.74348697	0.00099591	0.00099391	0.00099591	0.00099620
0.74549098	0.00099717	0.00099765	0.00099717	0.00099745
0.74749499	0.00099843	0.00099995	0.00099843	0.00099870
0.74949900	0.00099969	0.00101382	0.00099969	0.00099995
0.75150301	0.00100094	0.00100779	0.00100094	0.00100120
0.75350701	0.00100220	0.00100457	0.00100220	0.00100244
0.75551102	0.00100346	0.00100618	0.00100346	0.00100369
0.75751503	0.00100472	0.00101921	0.00100472	0.00100494
0.75951904	0.00100598	0.00100851	0.00100598	0.00100618
0.76152305	0.00100723	0.00101848	0.00100723	0.00100743
0.76352705	0.00100849	0.00100095	0.00100849	0.00100867
0.76553106	0.00100974	0.00099232	0.00100974	0.00100992
0.76753507	0.00101100	0.00101445	0.00101100	0.00101116
0.76953908	0.00101225	0.00101173	0.00101225	0.00101240
0.77154309	0.00101349	0.00102681	0.00101349	0.00101364
0.77354709	0.00101474	0.00102091	0.00101474	0.00101487
0.77555110	0.00101599	0.00102610	0.00101599	0.00101611
0.77755511	0.00101723	0.00102750	0.00101723	0.00101734
0.77955912	0.00101847	0.00102201	0.00101847	0.00101856
0.78156313	0.00101970	0.00101918	0.00101970	0.00101979
0.78356713	0.00102093	0.00102760	0.00102093	0.00102101
0.78557114	0.00102216	0.00102047	0.00102216	0.00102223
0.78757515	0.00102339	0.00104340	0.00102339	0.00102345
0.78957916	0.00102461	0.00104169	0.00102461	0.00102466
0.79158317	0.00102583	0.00102703	0.00102583	0.00102587
0.79358717	0.00102705	0.00101451	0.00102705	0.00102707
0.79559118	0.00102826	0.00103826	0.00102826	0.00102827
0.79759519	0.00102946	0.00103674	0.00102946	0.00102946
0.79959920	0.00103066	0.00103347	0.00103066	0.00103065
0.80160321	0.00103186	0.00102369	0.00103186	0.00103184
0.80360721	0.00103305	0.00102643	0.00103305	0.00103302
0.80561122	0.00103423	0.00103446	0.00103423	0.00103420
0.80761523	0.00103542	0.00104425	0.00103542	0.00103537
0.80961924	0.00103659	0.00103486	0.00103659	0.00103653
0.81162325	0.00103776	0.00104222	0.00103776	0.00103769
0.81362725	0.00103892	0.00102274	0.00103892	0.00103884
0.81563126	0.00104008	0.00104410	0.00104008	0.00103999
0.81763527	0.00104123	0.00104633	0.00104123	0.00104113
0.81963928	0.00104237	0.00106022	0.00104237	0.00104226
0.82164329	0.00104351	0.00104620	0.00104351	0.00104339
0.82364729	0.00104464	0.00103860	0.00104464	0.00104451
0.82565130	0.00104576	0.00103720	0.00104576	0.00104562
0.82765531	0.00104688	0.00106591	0.00104688	0.00104673
0.82965932	0.00104799	0.00104957	0.00104799	0.00104783
0.83166333	0.00104909	0.00104596	0.00104909	0.00104892
