# Signal Processing Proof Results
# H shape: (3, 1), sigma_z: 1e-05
# SVD singular values: [1.224744871391589]
# Condition number: 1.00
# Fisher F: 45000000000.0000
# CRLB: 2.222222e-11
# LS RMS error: 7.797385e-06
# Reg RMS error: 7.797385e-06
# Iter RMS error: 7.797385e-06
# All checks pass: True
#
# t	G_true	x_hat_LS	x_hat_reg	x_hat_iter
0.65330661	0.00094291	0.00095277	0.00095277	0.00095277
0.65531062	0.00094395	0.00094701	0.00094701	0.00094701
0.65731463	0.00094500	0.00094373	0.00094373	0.00094373
0.65931864	0.00094606	0.00095131	0.00095131	0.00095131
0.66132265	0.00094712	0.00094766	0.00094766	0.00094766
0.66332665	0.00094819	0.00094321	0.00094321	0.00094321
0.66533066	0.00094927	0.00094572	0.00094572	0.00094572
0.66733467	0.00095036	0.00094826	0.00094826	0.00094826
0.66933868	0.00095146	0.00095834	0.00095834	0.00095834
0.67134269	0.00095257	0.00095124	0.00095124	0.00095124
0.67334669	0.00095368	0.00095130	0.00095130	0.00095130
0.67535070	0.00095480	0.00094832	0.00094832	0.00094832
0.67735471	0.00095592	0.00096066	0.00096066	0.00096066
0.67935872	0.00095706	0.00095315	0.00095315	0.00095315
0.68136273	0.00095820	0.00095309	0.00095309	0.00095309
0.68336673	0.00095935	0.00096323	0.00096323	0.00096323
0.68537074	0.00096050	0.00095985	0.00095985	0.00095985
0.68737475	0.00096166	0.00096352	0.00096352	0.00096352
0.68937876	0.00096282	0.00096340	0.00096340	0.00096340
0.69138277	0.00096400	0.00096224	0.00096224	0.00096224
0.69338677	0.00096517	0.00094797	0.00094797	0.00094797
0.69539078	0.00096636	0.00096827	0.00096827	0.00096827
0.69739479	0.00096755	0.00095607	0.00095607	0.00095607
0.69939880	0.00096874	0.00096480	0.00096480	0.00096480
0.70140281	0.00096994	0.00096603	0.00096603	0.00096603
0.70340681	0.00097114	0.00097312	0.00097312	0.00097312
0.70541082	0.00097235	0.00097775	0.00097775	0.00097775
0.70741483	0.00097356	0.00097899	0.00097899	0.00097899
0.70941884	0.00097478	0.00097746	0.00097746	0.00097746
0.71142285	0.00097600	0.00095878	0.00095878	0.00095878
0.71342685	0.00097722	0.00097250	0.00097250	0.00097250
0.71543086	0.00097845	0.00097940	0.00097940	0.00097940
0.71743487	0.00097968	0.00097506	0.00097506	0.00097506
0.71943888	0.00098092	0.00097812	0.00097812	0.00097812
0.72144289	0.00098215	0.00098624	0.00098624	0.00098624
0.72344689	0.00098339	0.00099049	0.00099049	0.00099049
0.72545090	0.00098464	0.00098947	0.00098947	0.00098947
0.72745491	0.00098588	0.00099130	0.00099130	0.00099130
0.72945892	0.00098713	0.00099368	0.00099368	0.00099368
0.73146293	0.00098838	0.00098388	0.00098388	0.00098388
0.73346693	0.00098963	0.00099199	0.00099199	0.00099199
0.73547094	0.00099088	0.00098897	0.00098897	0.00098897
0.73747495	0.00099214	0.00099351	0.00099351	0.00099351
0.73947896	0.00099339	0.00099199	0.00099199	0.00099199
0.74148297	0.00099465	0.00099365	0.00099365	0.00099365
0.74348697	0.00099591	0.00100227	0.00100227	0.00100227
0.74549098	0.00099717	0.00099767	0.00099767	0.00099767
0.74749499	0.00099843	0.00099701	0.00099701	0.00099701
0.74949900	0.00099969	0.00101883	0.00101883	0.00101883
0.75150301	0.00100094	0.00100111	0.00100111	0.00100111
0.75350701	0.00100220	0.00100406	0.00100406	0.00100406
0.75551102	0.00100346	0.00100890	0.00100890	0.00100890
0.75751503	0.00100472	0.00101725	0.00101725	0.00101725
0.75951904	0.00100598	0.00101064	0.00101064	0.00101064
0.76152305	0.00100723	0.00101232	0.00101232	0.00101232
0.76352705	0.00100849	0.00100110	0.00100110	0.00100110
0.76553106	0.00100974	0.00100114	0.00100114	0.00100114
0.76753507	0.00101100	0.00100895	0.00100895	0.00100895
0.76953908	0.00101225	0.00101193	0.00101193	0.00101193
0.77154309	0.00101349	0.00102165	0.00102165	0.00102165
0.77354709	0.00101474	0.00102331	0.00102331	0.00102331
0.77555110	0.00101599	0.00103250	0.00103250	0.00103250
0.77755511	0.00101723	0.00102564	0.00102564	0.00102564
0.77955912	0.00101847	0.00101580	0.00101580	0.00101580
0.78156313	0.00101970	0.00101798	0.00101798	0.00101798
0.78356713	0.00102093	0.00102365	0.00102365	0.00102365
0.78557114	0.00102216	0.00102363	0.00102363	0.00102363
0.78757515	0.00102339	0.00103995	0.00103995	0.00103995
0.78957916	0.00102461	0.00103587	0.00103587	0.00103587
0.79158317	0.00102583	0.00102548	0.00102548	0.00102548
0.79358717	0.00102705	0.00101058	0.00101058	0.00101058
0.79559118	0.00102826	0.00103453	0.00103453	0.00103453
0.79759519	0.00102946	0.00103672	0.00103672	0.00103672
0.79959920	0.00103066	0.00103400	0.00103400	0.00103400
0.80160321	0.00103186	0.00101897	0.00101897	0.00101897
0.80360721	0.00103305	0.00102953	0.00102953	0.00102953
0.80561122	0.00103423	0.00103832	0.00103832	0.00103832
0.80761523	0.00103542	0.00104239	0.00104239	0.00104239
0.80961924	0.00103659	0.00103755	0.00103755	0.00103755
0.81162325	0.00103776	0.00103954	0.00103954	0.00103954
0.81362725	0.00103892	0.00102253	0.00102253	0.00102253
0.81563126	0.00104008	0.00104662	0.00104662	0.00104662
0.81763527	0.00104123	0.00104311	0.00104311	0.00104311
0.81963928	0.00104237	0.00105218	0.00105218	0.00105218
0.82164329	0.00104351	0.00105166	0.00105166	0.00105166
0.82364729	0.00104464	0.00103973	0.00103973	0.00103973
0.82565130	0.00104576	0.00103789	0.00103789	0.00103789
0.82765531	0.00104688	0.00106787	0.00106787	0.00106787
0.82965932	0.00104799	0.00104774	0.00104774	0.00104774
0.83166333	0.00104909	0.00104812	0.00104812	0.00104812
0.83366733	0.00105018	0.00106274	0.00106274	0.00106274
0.83567134	0.00105127	0.00105356	0.00105356	0.00105356
0.83767535	0.00105234	0.00106381	0.00106381	0.00106381
0.83967936	0.00105341	0.00105620	0.00105620	0.00105620
0.84168337	0.00105447	0.00107358	0.00107358	0.00107358
0.84368737	0.00105552	0.00106738	0.00106738	0.00106738
0.84569138	0.00105657	0.00105413	0.00105413	0.00105413
0.84769539	0.00105760	0.00105895	0.00105895	0.00105895
0.84969940	0.00105863	0.00106343	0.00106343	0.00106343
0.85170341	0.00105964	0.00105713	0.00105713	0.00105713
0.85370741	0.00106065	0.00105921	0.00105921	0.00105921
0.85571142	0.00106164	0.00106380	0.00106380	0.00106380
0.85771543	0.00106263	0.00107417	0.00107417	0.00107417
0.85971944	0.00106361	0.00105074	0.00105074	0.00105074
0.86172345	0.00106457	0.00105586	0.00105586	0.00105586
0.86372745	0.00106553	0.00106092	0.00106092	0.00106092
0.86573146	0.00106648	0.00106272	0.00106272	0.00106272
0.86773547	0.00106741	0.00106292	0.00106292	0.00106292
